time_s,temp_c,temp_ema,vnode,fan_duty,heater_duty,setpoint,state
788.9650,31.3084,30.7336,0.1160,0.7834,0.1000,31.0000,PID
791.9650,30.9348,30.7138,0.1177,0.7647,0.1000,31.0000,PID
794.9650,30.0261,30.6805,0.1217,0.7365,0.1000,31.0000,PID
796.9650,30.9348,30.7016,0.1177,0.7471,0.1000,31.0000,PID
825.9650,30.0261,30.5970,0.1217,0.6146,0.1000,31.0000,PID
828.9650,30.5671,30.6131,0.1193,0.6184,0.1000,31.0000,PID
835.9650,30.7502,30.6286,0.1185,0.6125,0.1000,31.0000,PID
836.9650,30.7502,30.6310,0.1185,0.6119,0.1000,31.0000,PID
837.9650,31.3084,30.6446,0.1160,0.6189,0.1000,31.0000,PID
838.9650,30.5671,30.6430,0.1193,0.6157,0.1000,31.0000,PID
839.9650,31.1209,30.6526,0.1168,0.6200,0.1000,31.0000,PID
840.9650,30.5671,30.6509,0.1193,0.6168,0.1000,31.0000,PID
841.9650,30.9348,30.6566,0.1177,0.0000,0.1000,34.0000,PID
842.9650,30.9348,30.6621,0.1177,0.0000,0.1000,34.0000,PID
843.9650,30.3854,30.6566,0.1201,0.0000,0.1000,34.0000,PID
844.9650,30.5671,30.6548,0.1193,0.0000,0.1000,34.0000,PID
845.9650,30.2050,30.6458,0.1209,0.0000,0.1000,34.0000,PID
846.9650,30.7502,30.6479,0.1185,0.0000,0.1000,34.0000,PID
857.9650,30.9348,30.6858,0.1177,0.0000,0.1000,34.0000,PID
858.9650,30.3854,30.6798,0.1201,0.0000,0.4500,34.0000,PID
874.9650,31.6880,30.9320,0.1144,0.0000,0.4500,34.0000,PID
905.9650,33.0670,31.4811,0.1088,0.0000,0.4500,34.0000,PID
936.9650,33.6836,32.3014,0.1064,0.0000,0.4500,34.0000,PID
959.9650,35.1876,33.0672,0.1007,0.1593,0.4500,34.0000,PID
969.9650,34.5314,33.3492,0.1032,0.3024,0.4500,34.0000,PID
