time_s,temp_c,temp_ema,vnode,fan_duty,heater_duty,setpoint,state
614.3450,34.5314,34.8735,0.1032,0.4289,0.4000,35.0000,?
622.3450,34.7481,34.8708,0.1023,0.4209,0.4000,35.0000,?
626.3450,34.9669,34.8826,0.1015,0.4259,0.4000,35.0000,?
627.3450,35.6353,34.8976,0.0991,0.4355,0.4000,35.0000,?
629.3450,35.4104,34.9050,0.0999,0.4392,0.4000,35.0000,?
630.3450,34.1037,34.8889,0.1048,0.4277,0.4000,35.0000,?
634.3450,35.6353,34.9512,0.0991,0.4681,0.4000,35.0000,?
636.3450,35.6353,34.9695,0.0991,0.4800,0.4000,35.0000,?
642.3450,34.7481,34.9733,0.1023,0.4816,0.4000,35.0000,?
644.3450,34.9669,34.9730,0.1015,0.4811,0.4000,35.0000,?
645.3450,35.6353,34.9862,0.0991,0.4900,0.4000,35.0000,?
648.3450,34.9669,34.9894,0.1015,0.4919,0.4000,35.0000,?
649.3450,35.6353,35.0023,0.0991,0.5007,0.4000,35.0000,?
653.3450,35.1876,34.9961,0.1007,0.4962,0.4000,35.0000,?
654.3450,34.3166,34.9825,0.1040,0.4869,0.4000,35.0000,?
655.3450,34.9669,34.9822,0.1015,0.4866,0.8000,35.0000,?
657.3450,35.1876,34.9947,0.1007,0.4950,0.8000,35.0000,?
665.3450,34.9669,35.0349,0.1015,0.5234,0.8000,35.0000,?
671.3450,35.6353,35.0489,0.0991,0.5343,0.8000,35.0000,?
673.3450,35.4104,35.0502,0.0999,0.5358,0.8000,35.0000,?
679.3480,34.9669,35.1034,0.1015,0.5751,0.8000,35.0000,?
680.3450,35.6353,35.1141,0.0991,0.5830,0.8000,35.0000,?
683.3450,35.1876,35.1056,0.1007,0.5792,0.8000,35.0000,?
686.3450,36.0916,35.1416,0.0975,0.6058,0.8000,35.0000,?
688.3450,35.1876,35.1434,0.1007,0.6088,0.8000,35.0000,?
689.3450,36.3230,35.1670,0.0967,0.6258,0.8000,35.0000,?
693.3450,35.4104,35.1948,0.0999,0.6491,0.8000,35.0000,?
695.3450,36.0916,35.2394,0.0975,0.6821,0.8000,35.0000,?
696.3450,36.0916,35.2564,0.0975,0.6952,0.8000,35.0000,?
698.3450,35.1876,35.2494,0.1007,0.6935,0.8000,35.0000,?
703.3450,34.9669,35.2599,0.1015,0.7087,0.8000,35.0000,?
705.3450,36.3230,35.2929,0.0967,0.7345,0.8000,35.0000,?
706.3450,35.8624,35.3043,0.0983,0.7441,0.8000,35.0000,?
707.3450,35.1876,35.3020,0.1007,0.7443,0.8000,35.0000,?
709.3450,36.3230,35.3379,0.0967,0.7726,0.8000,35.0000,?
711.3450,34.9669,35.3275,0.1015,0.7696,0.8000,35.0000,?
717.3450,35.1876,35.3791,0.1007,0.8180,0.8000,35.0000,?
718.3450,34.7481,35.3665,0.1023,0.8117,0.8000,35.0000,?
721.3450,35.8624,35.3781,0.0983,0.8264,0.8000,35.0000,?
722.3450,35.1876,35.3743,0.1007,0.8261,0.8000,35.0000,?
728.3450,35.1876,35.3484,0.1007,0.8220,0.8000,35.0000,?
730.3450,35.8624,35.3599,0.0983,0.8341,0.8000,35.0000,?
731.3450,35.1876,35.3565,0.1007,0.8339,0.8000,35.0000,?
733.3450,36.3230,35.3902,0.0967,0.8614,0.8000,35.0000,?
736.3450,34.3166,35.3523,0.1040,0.8425,0.8000,35.0000,?
739.3450,35.4104,35.3558,0.0999,0.8514,0.8000,35.0000,?
740.3450,34.5314,35.3393,0.1032,0.8423,0.8000,35.0000,?
747.3450,35.8624,35.3755,0.0983,0.8817,0.8000,35.0000,?
749.3450,35.4104,35.3682,0.0999,0.8813,0.8000,35.0000,?
757.3450,35.6353,35.3315,0.0991,0.8727,0.8000,35.0000,?
764.3450,34.3166,35.2822,0.1040,0.8528,0.8000,35.0000,?
772.3450,34.7481,35.2440,0.1023,0.8395,0.8000,35.0000,?
774.3460,34.7481,35.2201,0.1023,0.8260,0.8000,35.0000,?
775.3450,35.6353,35.2284,0.0991,0.8330,0.8000,35.0000,?
778.3450,35.6353,35.2224,0.0991,0.8329,0.8000,35.0000,?
782.3450,34.7481,35.1855,0.1023,0.8129,0.8000,35.0000,?
784.3450,35.6353,35.1989,0.0991,0.8243,0.8000,35.0000,?
785.3450,36.0916,35.2168,0.0975,0.8377,0.8000,35.0000,?
786.3450,34.3166,35.1988,0.1040,0.8267,0.8000,35.0000,?
793.3450,34.5314,35.1759,0.1032,0.8194,0.8000,35.0000,?
795.3450,35.4104,35.1852,0.0999,0.8280,0.8000,35.0000,?
796.3450,36.3230,35.2080,0.0967,0.8446,0.8000,35.0000,?
797.3450,35.8624,35.2210,0.0983,0.8548,0.8000,35.0000,?
803.3450,35.4104,35.1970,0.0999,0.8459,0.8000,35.0000,?
804.3480,34.3166,35.1794,0.1040,0.8351,0.8000,35.0000,?
806.3450,34.9669,35.1753,0.1015,0.8345,0.8000,35.0000,?
808.3450,34.3166,35.1455,0.1040,0.8162,0.8000,35.0000,?
813.3450,34.7481,35.1321,0.1023,0.8115,0.8000,35.0000,?
816.3450,35.1876,35.1354,0.1007,0.8162,0.8000,35.0000,?
823.3450,35.4104,35.0937,0.0999,0.7924,0.8000,35.0000,?
825.3450,34.9669,35.0801,0.1015,0.7842,0.8000,35.0000,?
831.3450,35.8624,35.1020,0.0983,0.8021,0.8000,35.0000,?
832.3450,34.9669,35.0993,0.1015,0.8009,0.8000,35.0000,?
834.3450,35.1876,35.1116,0.1007,0.8106,0.8000,35.0000,?
836.3450,34.7481,35.1102,0.1023,0.8110,0.8000,35.0000,?
838.3450,35.8624,35.1399,0.0983,0.8328,0.8000,35.0000,?
844.3450,35.4104,35.1293,0.0999,0.8303,0.8000,35.0000,?
845.3450,35.4104,35.1349,0.0999,0.8349,0.8000,35.0000,?
846.3450,36.0916,35.1540,0.0975,0.8488,0.8000,35.0000,?
848.3450,35.6353,35.1643,0.0991,0.8577,0.8000,35.0000,?
849.3450,34.5314,35.1516,0.1032,0.8501,0.8000,35.0000,?
852.3450,34.9669,35.1450,0.1015,0.8483,0.8000,35.0000,?
854.3450,35.4104,35.1599,0.0999,0.8603,0.8000,35.0000,?
855.3450,34.1037,35.1388,0.1048,0.8469,0.8000,35.0000,?
859.3450,35.6353,35.1645,0.0991,0.8680,0.8000,35.0000,?
866.3450,35.4104,35.1804,0.0999,0.8861,0.8000,35.0000,?
869.3450,34.7481,35.1549,0.1023,0.8719,0.8000,35.0000,?
875.3450,35.1876,35.1666,0.1007,0.8859,0.8000,35.0000,?
876.3450,35.4104,35.1715,0.0999,0.8903,0.8000,35.0000,?
877.3450,35.1876,35.1718,0.1007,0.8916,1.0000,35.0000,?
879.3450,35.6353,35.1857,0.0991,0.9032,1.0000,35.0000,?
883.3450,35.1876,35.1693,0.1007,0.8962,1.0000,35.0000,?
887.3450,35.6353,35.2187,0.0991,0.9346,1.0000,35.0000,?
888.3450,34.9669,35.2136,0.1015,0.9324,1.0000,35.0000,?
889.3450,35.6353,35.2221,0.0991,0.9395,1.0000,35.0000,?
896.3450,35.4104,35.2221,0.0999,0.9489,1.0000,35.0000,?
900.3450,36.0916,35.2590,0.0975,0.9798,1.0000,35.0000,?
902.3450,34.9669,35.2562,0.1015,0.9810,1.0000,35.0000,?
905.3450,35.6353,35.2741,0.0991,0.9980,1.0000,35.0000,?
907.3450,35.1876,35.2663,0.1007,0.9960,1.0000,35.0000,?
915.3450,35.1876,35.3096,0.1007,1.0000,1.0000,35.0000,?
